,city,state,room_type,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating
51833,KIHEI,HI,Entire home/apt,0,1,0,5,1125,94
51834,WASHINGTON,DC,Entire home/apt,500,1,0,10,90,98
51835,BROOKLYN,NY,Entire home/apt,300,2,30,5,1125,91
51836,OAKLAND,CA,Entire home/apt,500,1,0,1,28,92
51837,NASHVILLE,TN,Entire home/apt,0,4,0,1,365,40
51838,BROOKLYN,NY,Entire home/apt,250,2,35,2,29,97
51839,LOS ANGELES,CA,Entire home/apt,100,2,20,30,82,80
51840,BROOKLYN,NY,Private room,1000,1,40,3,31,100
51841,BOSTON,MA,Entire home/apt,0,2,50,32,90,95
51842,BROOKLYN,NY,Shared room,0,1,0,5,31,96
51843,BOSTON,MA,Entire home/apt,100,2,20,2,180,97
51844,NASHVILLE,TN,Private room,0,3,15,1,1125,98
51845,SANTA CLARA,CA,Shared room,100,1,0,1,1125,82
51846,WAIANAE,HI,Entire home/apt,400,3,12,30,84,96
51847,HONOLULU,HI,Entire home/apt,1000,4,10,28,365,87
51848,BRONX,NY,Entire home/apt,100,2,10,1,14,94
51849,CULVER CITY,CA,Entire home/apt,500,6,200,5,1125,100
51850,NEW YORK,NY,Private room,0,1,0,3,30,100
51851,MINNEAPOLIS,MN,Entire home/apt,300,1,0,3,1125,97
51852,DENVER,CO,Private room,100,1,10,7,120,100
51853,BROOKLYN,NY,Entire home/apt,0,1,0,2,1125,100
51854,LOS ANGELES,CA,Entire home/apt,0,1,0,1,14,100
51855,LOS ANGELES,CA,Entire home/apt,1000,1,0,31,1125,89
51856,NEW ORLEANS,LA,Entire home/apt,0,2,10,2,60,97
51857,SAN GABRIEL,CA,Entire home/apt,500,9,60,1,1125,90
51858,HALEIWA,HI,Entire home/apt,200,2,25,30,1125,96
51859,SAN DIEGO,CA,Hotel room,0,2,25,1,1125,99
51860,CHICAGO,IL,Entire home/apt,0,1,0,90,368,85
51861,LOS ANGELES,CA,Private room,250,1,0,1,28,99
51862,SAN FRANCISCO,CA,Entire home/apt,0,1,0,30,90,89
51863,SAN DIEGO,CA,Entire home/apt,500,3,50,3,12,95
51864,NASHVILLE,TN,Entire home/apt,0,2,30,1,30,96
51865,WAILUKU,HI,Entire home/apt,100,4,20,2,1125,98
51866,KIHEI,HI,Entire home/apt,0,4,0,5,90,90
51867,BROOKLYN,NY,Entire home/apt,125,3,40,4,30,91
51868,SAN DIEGO,CA,Entire home/apt,300,2,25,1,1125,99
51869,HERMOSA BEACH,CA,Entire home/apt,400,1,0,15,180,100
51870,REDONDO BEACH,CA,Entire home/apt,0,1,0,3,1125,100
51871,KIHEI,HI,Entire home/apt,0,4,0,5,365,98
51872,PORTLAND,OR,Entire home/apt,500,4,25,1,7,96
51873,LIHUE,HI,Entire home/apt,0,4,0,4,179,90
51874,SAINT PAUL,MN,Entire home/apt,0,1,0,2,60,100
51875,AUSTIN,TX,Entire home/apt,300,6,0,28,180,100
51876,MALIBU,CA,Entire home/apt,500,4,50,3,1125,90
51877,LONG BEACH,CA,Entire home/apt,0,3,25,1,1125,95
51878,SEATTLE,WA,Entire home/apt,100,2,0,1,14,89
51879,CHICAGO,IL,Private room,0,2,10,2,1125,100
51880,NEW YORK,NY,Private room,0,2,30,1,365,70
51881,LOS ANGELES,CA,Entire home/apt,1000,2,75,2,13,100
51882,NASHVILLE,TN,Entire home/apt,500,8,50,1,14,100
51883,OAKLAND,CA,Private room,0,1,10,1,30,87
51884,WASHINGTON,DC,Entire home/apt,0,1,0,2,1125,99
51885,ROWLAND HEIGHTS,CA,Entire home/apt,0,3,5,1,999,87
51886,NEW YORK,NY,Entire home/apt,200,1,0,5,31,94
51887,QUEENS,NY,Entire home/apt,200,2,0,2,29,98
51888,NEW ORLEANS,LA,Entire home/apt,400,2,5,2,1125,94
51889,LOS ANGELES,CA,Private room,0,1,19,1,90,88
51890,SAN DIEGO,CA,Entire home/apt,500,9,25,4,30,99
51891,SEATTLE,WA,Entire home/apt,250,1,0,2,1125,96
51892,LONG BEACH,CA,Entire home/apt,0,3,25,1,1125,82
51893,NEW YORK,NY,Private room,0,1,35,1,30,94
51894,SAINT PAUL,MN,Entire home/apt,0,3,25,2,1125,95
51895,BROOKLYN,NY,Private room,200,1,0,31,75,97
51896,OAKLAND,CA,Entire home/apt,3000,5,25,2,29,99
51897,SEATTLE,WA,Entire home/apt,250,2,12,1,30,95
51898,NASHVILLE,TN,Entire home/apt,250,6,15,30,1125,95
51899,NASHVILLE,TN,Entire home/apt,200,1,10,3,1125,100
51900,AUSTIN,TX,Entire home/apt,0,8,15,3,1125,60
51901,NEW YORK,NY,Entire home/apt,500,1,0,30,1125,100
51902,BROOKLYN,NY,Private room,0,1,20,1,10,93
51903,MINNEAPOLIS,MN,Private room,0,1,25,2,14,97
51904,LONG BEACH,CA,Private room,0,1,0,14,90,100
51905,CAPTAIN COOK,HI,Private room,0,1,0,1,760,100
51906,QUEENS,NY,Entire home/apt,0,8,0,3,1125,97
51907,SCOTTS VALLEY,CA,Entire home/apt,0,6,300,2,1125,80
51908,SAN DIEGO,CA,Entire home/apt,200,1,0,3,1125,97
51909,AVALON,CA,Entire home/apt,0,6,0,3,27,100
51910,NASHVILLE,TN,Entire home/apt,150,1,0,1,14,98
51911,LOS ANGELES,CA,Private room,0,1,5,1,1125,100
51912,KEALAKEKUA,HI,Private room,0,2,45,1,365,100
51913,NEW YORK,NY,Entire home/apt,0,1,0,30,1125,80
51914,SEATTLE,WA,Entire home/apt,250,6,45,2,1125,97
51915,BROOKLYN,NY,Private room,0,1,0,1,1125,99
51916,SAN DIEGO,CA,Entire home/apt,200,2,20,1,1125,94
51917,PORTLAND,OR,Entire home/apt,0,1,0,2,15,99
51918,HONOLULU,HI,Entire home/apt,100,1,0,2,1125,93
51919,NEW ORLEANS,LA,Entire home/apt,300,2,50,2,1125,98
51920,LOS ANGELES,CA,Entire home/apt,100,2,10,1,1125,98
51921,NASHVILLE,TN,Entire home/apt,0,1,0,1,1125,100
51922,LOS ANGELES,CA,Entire home/apt,0,4,0,1,30,97
51923,EWA BEACH,HI,Private room,0,2,5,1,1125,94
51924,QUEENS,NY,Private room,150,2,0,1,1125,99
51925,OAKLAND,CA,Entire home/apt,2000,2,300,5,11,100
51926,HONOLULU,HI,Entire home/apt,100,2,50,30,1125,91
51927,NEW YORK,NY,Private room,200,1,15,2,1125,99
51928,DENVER,CO,Entire home/apt,0,1,0,3,60,97
51929,BOSTON,MA,Private room,300,2,0,2,500,88
51930,PORTLAND,OR,Entire home/apt,0,4,15,2,31,98
51931,LOS ANGELES,CA,Entire home/apt,0,2,0,30,1000,94
51932,SAN DIEGO,CA,Private room,0,1,0,5,14,100
51933,NASHVILLE,TN,Entire home/apt,1000,1,0,3,1125,99
51934,BROOKLYN,NY,Private room,0,2,29,2,30,96
51935,NEW YORK,NY,Entire home/apt,500,2,20,28,365,98
51936,BOSTON,MA,Entire home/apt,0,3,0,91,1125,100
51937,SAN DIEGO,CA,Entire home/apt,500,6,75,2,31,97
51938,BROOKLYN,NY,Private room,0,1,0,10,100,95
51939,CHICAGO,IL,Entire home/apt,0,1,0,5,14,97
51940,PASADENA,CA,Entire home/apt,500,4,10,1,1125,97
